Time,Open,High,Low,Last,Volume
11/06/2024 16:00,5820.25,5967.0,5814.75,5958.25,100000
11/05/2024 16:00,5752.25,5823.25,5735.0,5812.25,95000
11/04/2024 16:00,5741.75,5776.5,5724.25,5743.25,88000
11/01/2024 16:00,5742.0,5803.75,5732.5,5758.25,92000
10/31/2024 16:00,5840.0,5844.0,5733.25,5738.5,105000
10/30/2024 16:00,5883.0,5893.0,5840.25,5852.0,87000
10/29/2024 16:00,5867.0,5883.75,5837.5,5871.0,82000
10/28/2024 16:00,5857.0,5884.5,5857.0,5861.5,79000
10/25/2024 16:00,5853.25,5900.75,5835.0,5846.0,91000
10/24/2024 16:00,5844.0,5870.0,5822.5,5849.0,88000
10/23/2024 16:00,5887.25,5893.75,5801.0,5837.75,96000
10/22/2024 16:00,5900.75,5904.25,5861.25,5892.5,84000
10/21/2024 16:00,5911.5,5915.5,5865.0,5896.25,81000
10/18/2024 16:00,5888.25,5915.5,5876.25,5906.0,89000
10/17/2024 16:00,5882.75,5927.25,5871.25,5887.0,93000
10/16/2024 16:00,5861.0,5892.75,5853.25,5887.0,86000
10/15/2024 16:00,5914.25,5915.5,5850.0,5862.75,90000
10/14/2024 16:00,5854.5,5918.5,5850.0,5908.25,87000
10/11/2024 16:00,5831.0,5868.25,5816.0,5859.75,85000
10/10/2024 16:00,5836.0,5844.0,5811.5,5829.0,83000
10/09/2024 16:00,5799.25,5846.5,5780.75,5841.25,94000
10/08/2024 16:00,5752.5,5806.75,5725.25,5800.5,89000
